DataCite client name,has_schema_org,number_checked
Rolling Deck to Repository Program,0,158
Drug Design Data (D3R) Resource,0,2
"National association of specialists in thrombosis, clinical haemostasiology and haemorheology",0,46
Istituto Nazionale di Oceanografia e di Geofisica Sperimentale,0,72
HEPData.net,0,158
Information Marketplace for Policy and Analysis of Cyber-Risk & Trust (IMPACT),0,145
California Digital Library,0,4
Facultad de Psicología de la Universidad de la República,0,1
Queen Mary University of London,0,29
International Centre for Higher Education Research,0,2
Universität Hamburg,0,23
Tavrida Bulletin of Agrarian Science,0,22
"DataGuru-LU,  Department of Physical Geography and Ecosystem Science, Lund University",0,7
Saint Petersburg Mining University,0,54
ArcticNet,0,22
Humboldt Universität zu Berlin,0,7
Les Amis d'Acarologia,0,31
Russian Agency for Digital Standardization,0,146
International Journal of Language and Law (JLL),0,30
Video Journal of Vitreoretinal Surgery,0,14
Association française de dynamique des structures et vibroacoustique,0,25
Africa Health Research Institute,0,1
Fondren Library,0,18
Kola Science Center of the Russian Academy of Sciences,0,106
U.S. Fish and Wildlife Service,0,12
Pädagogische Hochschule Zürich - Medienpädagogik,0,91
Materials Physics and Mechanics,0,89
Institute of the Health Care Ministry of the Chuvash Republic,0,22
Università degli Studi di Catania,0,42
University of Kent,0,9
National Center for Ecological Analysis and Synthesis (NCEAS),0,154
OpenNeuro,0,65
ORNL Oak Ridge Leadership Computing Facility,0,5
German Medical Science,0,157
Heriot-Watt University,0,46
BOP: EHB,0,8
Rabbit and Fur-Bearing Animal Breeding,0,44
Istituto Nazionale di Astrofisica,0,5
Geoscience Australia,0,105
Observatoire de Physique du Globe de Clermont-Ferrand,0,2
Beratungsstelle für Unfallverhütung,0,1
Northwest Knowledge Network,0,34
"Federal Institute for Education Research, Austria",0,66
University of Canberra,0,1
Università degli Studi di Milano,0,155
Faculty of Economics University of Ljubljana,0,64
Thieme Chemistry,0,2
Széchenyi István Egyetem,0,59
Plymouth University,0,1
Zentrum für Literatur- und Kulturforschung,0,13
Ascomycete.org,0,116
Herder-Institut für historische Ostmitteleuropaforschung,0,3
Washington University in St. Louis Libraries,0,148
Gulf of Mexico Research Initiative Information and Data Cooperative,0,146
Zentralinstitut für die kassenärztliche Versorgung in der Bundesrepublik Deutschland (Zi),0,34
Société Marocaine de Rhumatologie,0,48
Research Data Centre for Education,0,142
IUMSP: Data,0,5
BOP: BAF,0,31
Leibniz-Zentrum für Agrarlandschaftsforschung (ZALF) e. V.,0,78
Australian Synchrotron,0,30
Department of Agriculture and Water Resources - ABARES,0,1
University of Wyoming,0,29
Association Française d'Etudes et de Recherches sur les Aérosols,0,41
Academy of Sciences of the Chechen Republic,0,48
University College Dublin,0,156
KNMI Data Centre,0,14
Nikitsky Botanical Garden - National Science Center of Russian Academy of Sciences,0,77
Stanford Digital Repository,0,17
Psychology Archives,0,151
TU München - Informatik,0,56
Barbara A. Mikulski Archive for Space Telescopes,0,118
Association des Technologies et l'Information pour l'Education et la Formation,0,21
"FLOSS Project, Syracuse University",0,56
UNC Library - Resource Description and Management,0,12
University of Manchester,0,63
Zuyd University of Applied Sciences,0,26
University of Copenhagen,0,5
International Journal of Literary Linguistics,0,34
Texas A&M University Libraries,0,28
South-Siberian Scientific Bulletin,0,35
Bundesinstitut für Bevolkerungsforschung (CPoS),0,68
University of Cambridge,0,156
Università degli Studi di Milano-Bicocca,0,5
Istituto Nazionale di Geofisica e Vulcanologia,0,34
International Review for Humboldtian Studies,0,118
Explora Blog,0,15
Erdélyi Társadalom Social Science Journal,0,105
Università degli Studi di Venezia Ca’ Foscari,0,145
Kinder Institute,0,21
Natura Somogyiensis,0,11
Faculty of 1000 Research Ltd,0,147
CISER Data Archive,0,132
New York University Library,0,28
Sage Bionetworks,0,111
Eszterházy Károly Egyetem konferenciaközlemények,0,19
XFEL,0,7
Oak Ridge National Lab’s Terrestrial Ecosystem Science Scientific Focus Area,0,52
American University Digital Research Archive,0,19
HOPE: sui generis,0,67
World Ozone and Ultraviolet Radiation Data Centre,0,13
Volgograd Academy of the Ministry of Internal Affairs of the Russian Federation,0,19
Data Repository for the University of Minnesota,0,94
Digital Research Infrastructure for the Arts and Humanities,0,98
University of Southern California Digital Library,0,145
Center for International Earth Science Information Network (CIESIN),0,58
"Technische Universität Clausthal, Universitätsbibliothek",0,62
The Evangelische Hochschule Nürnberg,0,27
"Universität Zürich, ZORA",0,160
University College London,0,20
St. Petersburg State Polytechnical University Journal,0,72
Canadian Polar Data Network (CPDN),0,78
Modern Language Association,0,147
Logisztikai trendek és legjobb gyakorlatok,0,5
Harvard Medical School,0,116
Károli Gáspár Református Egyetem,0,3
Eszterházy Károly Egyetem,0,20
North-Eastern Federal University,0,71
Humboldt Universität zu Berlin,0,144
Berkeley Seismological Laboratory,0,4
IAI - Ibero-American Institute,0,83
UC Berkeley Department of Linguistics,0,136
CERN Publishing,0,29
"Bundesinstitut für Risikobewertung Fachgruppe ZEBET-Datenbank und Informationsbeschaffung Abteilung Experimentelle Toxikologie und ZEBET Max-Dohrn-Straße 8–10,  10589 Berlin",0,46
Web Archive Programme at BL,0,5
Survey Research Data Archive Taiwan,0,144
University of Wollongong,0,9
Université de Liège,0,31
Laurentian University,0,1
Czytelnia Czasopism PAN,0,147
Digital Initiatives and Scholarly Communication,0,18
Cefas,0,47
Gesellschaft für Informatik (GI),0,133
UB Bern,0,1
Forschungsdaten- und Servicezentrum der Bundesbank,0,18
JACOW,0,135
BOP: JDS,0,26
Observatoire MEMO : Mammifères Echantillonneurs du Milieu Océanique - Service d'Observation de l'Océan CNRS-INSU,0,2
"National Cancer Institute, NIH",0,2
Morphosource Project,0,144
TU Delft Open,0,2
Max Planck Institute for Human Development,0,54
Concordia University,0,7
The McConnell Brain Imaging Centre,0,4
'Health Monitoring' Research Data Centre at the Robert Koch Institute,0,143
Unité de recherche en pratique pharmaceutique du Centre hospitalier universitaire Sainte-Justine,0,26
DSMZ,0,160
University of Texas at Austin,0,146
Keele University,0,25
HAWK Hildesheim - Hornemann Institut,0,105
Czech Social Science Data Archive,0,131
Laboratoire des Interactions Plantes-Microorganismes,0,3
CyberDOI,0,150
World Vegetable Center,0,24
RWI - Rheinisch-Westfälisches Institut für Wirtschaftsforschung e.V.,0,103
Zentrum für Astronomie der Universität Heidelberg,0,14
FIZ-Karlsruhe (eLiBM),0,63
Romania ADL Association,0,150
"Forschungsstelle für Gesundheitsbildung, Köln",0,8
Landscape Conservation Cooperative,0,1
Australian National Data Service,0,4
Marine Biological Association,0,8
Climate Adaptation Science Centers,0,11
Politechnika Białostocka Oficyna Wydawnicza,0,46
Leibniz-Institut für Ost- und Südosteuropaforschung (IOS),0,33
Fodder Production,0,52
Institut des Hautes Études Scientifiques,0,1
"UNINETT Sigma AS, Norway",0,60
Johns Hopkins University Data Archive,0,17
IOC of UNESCO (Intergovernmental Oceanographic Commission),0,76
Università del Salento,0,149
Office of Science (SC),0,13
Société Française de Chirurgie Thoracique et Cardio-Vasculaire,0,31
The Australian National University,0,53
Universitäts- und Landesbibliothek Münster,0,87
FIZ Karlsruhe – Leibniz-Institut für Informationsinfrastruktur,0,7
Tabriz University of Medical Sciences,0,51
Università degli Studi di Trieste,0,124
Centre National d’Etudes Spatiales,0,1
"UCSB Climate Hazards Group, Dept of Geography",0,3
Leibniz-Institut für Europäische Geschichte,0,142
Revistas SARC,0,143
St. George's University of London,0,35
NGEE-Arctic  (Next Generation Ecosystems Experiement),0,56
"The Russian Journal «Problems of Veterinary Sanitation, Hygiene and Ecology»",0,28
Universitätsbibliothek Chemnitz,0,53
Radioökológiai Tisztaságért Társadalmi Szervezet,0,2
Northwestern University,0,113
TU Delft Architecture,0,153
"Société de l'électricité, de l'électronique et des technologies de l'information et de la communication",0,85
Bibliothek des Wissenschaftsparks Albert Einstein,0,128
RMIT University,0,7
Hochschule Hannover,0,1
Hochschule für angewandte Wissenschaften Neu-Ulm Fakultät Gesundheitsmanagement Wileystr. 1 D-89231Neu-Ulm,0,30
BCU,0,155
Citrine community data,0,4
Bavarian State Library,0,152
International Treaty on Plant Genetic Resources for Food and Agriculture,0,159
UTA Institute of Classical Archaeology,0,1
National Renewable Energy Laboratory (NREL),0,103
Országos Meteorológiai Szolgálat,0,4
Humboldt-Universität zu Berlin Arbeitsgruppe Elektronisches Publizieren am Computer- und Medienservice (CMS),0,153
Leibniz-Institut für Nutztierbiologie (FBN),0,42
Energy Analysis and Environmental Impacts,0,1
Comité Français des Barrages et Réservoirs,0,21
Deutsche Hochdruckliga e.V.,0,49
Cardiff University,0,71
Journal of Universal Science Online,0,9
National Science Foundation (NSF),0,60
NETL Energy Data eXchange (EDX),0,76
BOP: Versants,0,19
Moscow International Higher Business School MIRBIS (institute),0,46
Università degli Studi di Salerno,0,137
University of Alberta Museums and Collections Services (MACS),0,4
ELS IPRbooks,0,107
Europa-Universität Viadrina,0,56
UCSD CDIP,0,2
Magyar Logisztikai Egyesület,0,1
Iranian Biomedical Journal,0,45
HAB - Herzog August Bibliothek,0,64
OpenBioMaps Consortium,0,5
Max Planck Digital Library,0,134
College of William & Mary,0,96
University of Edinburgh,0,147
National Aeronautics and Space Administration - Planetary Data System (NASA-PDS),0,20
"Institute of Philosophy, Jagiellonian University",0,7
Columbia University Libraries/Information Services (CUL/IS),0,41
EarthRef,0,99
ALT Proceedings / UB Bern,0,39
Edinburgh Napier University,0,7
Argonne National Lab,0,2
Leibniz Universität Hannover,0,139
Norsk Polarinstitutt,0,45
MIT Laboratory of Computational Physiology,0,78
Северо-Кавказский ФНАЦ,0,94
INIST/CNRS Institut de l'Information Scientifique et Technique,0,12
Australian Catholic University,0,147
Scientific and technical publishing house Hot line - Telecom,0,1
Università degli Studi di Firenze,0,159
TalkBank,0,107
"Westfälische Wilhelms-Universität Münster, Institut für Medizinische Informatik",0,11
Forschungsdatenzentrum im Bundesinstitut für Berufsbildung,0,116
Hochschule Düsseldorf,0,34
Aktionsbündnis Patientensicherheit e.V.,0,11
MLData,0,4
London School of Hygiene and Tropical Medicine,0,132
University of Manitoba Libraries,0,34
Incorporated Research Institutions for Seismology,0,159
MEDPress-Inform LLC,0,2
"HITS gGmbH,Heidelberger Institut für Theoretische Studien",0,19
Museum für Naturkunde - Leibniz-Institut für Evolutions- und Biodiversitätsforschung,0,27
Energy Systems Institute Siberian Branch of the Russian Academy of Sciences,0,18
Universität Würzburg,0,34
Digital Repository of Southern Federal University,0,99
e-rara.ch,0,159
EUMETSAT,0,19
Agriculture and Agri-Food Canada,0,1
"Richter Library, University of Miami",0,13
Beilstein-Institut zur Förderung der Chemischen Wissenschaften,0,19
University of York,0,115
Österreichische Gesellschaft für Entomofaunistik (OEGEF),0,2
Universitätsbibliothek Tübingen,0,139
Magyar Természettudományi Társulat,0,139
Magyar Kémikusok Lapja,0,1
Sir Alister Hardy Foundation for Ocean Science,0,104
Bureau Gravimétrique International,0,1
Institute for Research on Innovation and Science,0,11
Editura Universitara - Romania,0,94
University of Aberystwyth,0,12
University of Reading,0,46
Weierstraß-Institut für Angewandte Analysis und Stochastik,0,128
Institute of Sociology at the University of Duisburg-Essen,0,13
Bauhaus-Universität Weimar,0,99
Environment and Climate Change Canada (ECCC),0,23
Human Brain Project - Neuroinformatics Platform,0,84
University of Michigan Library,0,50
Pacific Northwest National Laboratory,0,104
Joachim Herz Stiftung (Programmbereich Wirtschaft),0,1
World Data Center for Remote Sensing of the Atmosphere,0,23
Università degli Studi di Genova,0,133
Journal of Medical Materials and Technologies,0,7
DODIS - Diplomatische Dokumente der Schweiz,0,21
IUPUI University Library,0,141
Canadian Cryospheric Information Network,0,18
Biodiversity and Sustainable Management of a Megadiverse Mountain Ecosystem in South Ecuador,0,26
UTM-CSIC,0,1
"Editorial office of Sugarbeet journal, Ltd",0,12
The Cancer Imaging Archive,0,77
Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky,0,105
Compute Canada,0,25
European Synchrotron Radiation Facility,0,130
NSF Arctic Data Center,0,149
Sonderforschungsbereich GEO-Q / Institut für Erdmessung (IFE),0,2
University of Oregon,0,110
St. Edward's University,0,54
Collaborating Academics,0,16
ETA-Florence Renewable Energies,0,132
Szent István Egyetem Gazdaság és Társadalomtudományok Kar Üzleti Tudományok Intézet,0,45
Издательство «Политехника»,0,1
UCSB Advanced Graphics Lab,0,8
"Regionsenter for barn og unges psykiske helse, helseregion Øst og Sør",0,56
Vyatka State University,0,34
Centre d'études biologiques de Chizé,0,1
Johann Wolfgang Goethe-Universität,0,123
Politecnico di Torino,0,138
Permos,0,1
Federation University Australia,0,6
JROI - Journal of Radiation Oncology Informatics,0,17
"Climate, Atmospheric Science and Physical Oceanography",0,4
European Society of Radiology,0,141
University of Kentucky Libraries,0,154
Karto y Ov Ltd,0,34
Classiques GARNIER,0,160
Carnegie Mellon University Libraries,0,154
National Center of Labor Hygiene and Occupational Diseases,0,1
Korea Institute of Science and Technology Information,0,102
University of California Natural Reserve System,0,50
Università degli Studi di Urbino,0,115
International Research Institute s.r.o.,0,107
Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e.V,0,20
Psychometrikon,0,43
Eurescom GmbH,0,40
University Library Hagen (UB Hagen),0,65
Geoforschungszentrum Potsdam,0,37
Università degli Studi di Foggia,0,46
City of Austin Digital Repository,0,3
Humboldt Universität zu Berlin,0,66
Observatoire de Recherche Méditerranéenne de l'Environnement,0,1
Washington State University,0,3
ZB MED PUBLISSO,0,40
"Institute of Mining, Ural Branch of RAS",0,43
Logistics Journal,0,83
Observatoire des Sciences de l’Univers  Nantes Atlantique,0,9
EPFL Infoscience,0,159
"Hochschule Bonn-Rhein-Sieg, Hochschul- und Kreisbibliothek",0,47
Journal for Art Market Studies,0,33
e-Journal of Practical Business Research,0,11
Registry of Research Repositories,0,149
Southern Cross University,0,24
The German Youth Institute,0,1
Universität des Saarlandes,0,119
Konrad-Zuse-Zentrum Berlin,0,6
Università della Calabria,0,48
CERN IdeaSquare Journal of Experimental Innovation,0,15
TU Eindhoven,0,1
Università degli Studi di Roma La Sapienza,0,118
Egészségfejlesztés,0,64
Lawrence Berkeley National Laboratory (LBNL),0,178
University of Warsaw  Interdisciplinary Centre for Mathematical and Comutational Modelling,0,55
MBF Bioscience,0,1
USGS DOI Tool Development Environment,0,16
Charles Darwin University,0,5
Universiteit Utrecht,0,31
Dagestan research institute of agriculture named after f.g. kysriev,0,37
GIQS (Grenzüberschreitende Integrierte Qualitätssicherung e.V.),0,13
Cornell University Library,0,117
Quality of Government Institute,0,9
Manchester Metropolitan University,0,14
UCSB,0,79
Nyugat-magyarországi Egyetem Benedek Elek Pedagógiai Kar,0,1
UCSF ImmPort,0,85
DiagnomX GmbH,0,103
Universitäts- und Landesbibliothek Sachsen-Anhalt,0,100
Marine Scotland,0,86
The Norwegian Institute of Bioeconomy Research,0,1
"Institut National des Sciences et Technologies des Transports, de l’Aménagement et des Réseaux.",0,2
"Technische Universität München, Universitätsbibliothek",0,51
Victoria University,0,13
Università del Piemonte orientale “Amedeo Avogadro”,0,2
INDEPTH Network,0,88
OpenTopography Facility,0,109
Newcastle University,0,99
British Library Labs,0,22
Universitätsbibliothek Marburg,0,157
"Natural History Museum, London",0,53
NILU - Norsk institutt for luftforskning,0,2
AmeriFlux,0,12
Helmholtz-Zentrum München - Gesundheit und Umwelt GmbH,0,2
IPUMS,0,29
Force11,0,2
"Swiss Seismological Service, Hazard Center",0,15
Praxiling,0,13
Eesti Maaülikool. EMU Dspace,0,114
Ärztliches Zentrum für Qualität in der Medizin,0,108
SMN ScienceMedia Network GmbH,0,61
Universitätsbibliothek JCS Frankfurt,0,141
Mathematisches Forschungsinstitut Oberwolfach,0,79
Joint Nature Conservation Committee,0,1
International Federation of Digital Seismograph Networks (FDSN),0,119
Universität Salzburg,0,91
PolyMediaPress,0,73
Aalborg University Library,0,142
University of Washington Bothell,0,2
University of New Brunswick,0,79
Bundesanstalt für Wasserbau,0,21
datalino,0,76
Digital Repository of Ireland,0,150
WSL Landesforstinventar,0,28
Bern Open Repository and Information System (BORIS),0,157
École Nationale Supérieure de l’Électronique et de ses Applications,0,1
Liverpool John Moores University,0,133
University of Colorado Boulder Libraries,0,79
BOP - Linguistik Online,0,143
Federal Centre for Health Education,0,95
Zentrum für Europäische Wirtschaftsforschung GmbH (ZEW),0,7
Különleges Bánásmód,0,45
Figshare Datacite,0,132
Université de Nouvelle-Calédonie,0,57
University of Utah,0,13
British Library Metadata Standards,0,53
"ESDS International Mimas, The University of Manchester",0,136
Testnevelési Egyetem,0,19
ScienceWorks,0,45
University of Vienna,0,35
Universiteitsbibliotheek EUR,0,63
Universität für Musik und darstellende Kunst Wien,0,2
Universitätsbibliothek Trier,0,20
Elsys Corp,0,34
SIB modelarchive.org,0,141
Leibniz Institute for Tropospheric Research (TROPOS),0,1
University of Hertfordshire,0,18
Università degli Studi di Bologna,0,153
MAASTRO Clinic,0,16
MTA BTK Zenetudományi Intézet (adatbázisok),0,13
UK Data Archive,0,68
R&D Médiation,0,10
Emergency Cardiology,0,6
Ocean Tracking Network,0,10
HMInfo,0,29
University of Iowa Libraries,0,25
"UC Davis, Social Science Data Service",0,26
Thüringer Universitäts- und Landesbibliothek,0,116
Bioinformatics Infrastructure for Life Sciences,0,9
Università degli Studi di Bari,0,55
Social Change in Switzerland,0,16
CORSSA - Community Online Resource for Statistical Seismicity Analysis,0,16
University of Washington College of the Environment Climate Impacts Group (CIG),0,58
UVH - Universitätsverlag Hildesheim,0,90
vz-nrw (Verbraucherzentrale Nordrhein-Westfalen e. V.),0,78
"Groupement d'Intérêt Public ""Université Numérique Juridique Francophone"" - GIP ""UNJF""",0,27
Institut zur Qualitätsentwicklung im Bildungswesen,0,62
Dairy and Beef Cattle Farming,0,33
International Institute of Tropical Agriculture (IITA),0,31
Statistics (ResearchCompendia.org),0,1
